table_number;table_name;material_group;material_code;material_label;level_1;level_2;level_3;level_4;description;description_main;abr_code;period_begin_code;period_begin_label;period_begin_group;period_end_code;period_end_label;period_end_group;date_range_text;indent_spaces
5;COMPLEX;;;;Begraving;;;;Grafheuvel, onbepaald;Grafheuvel, onbepaald;GHX;;;;;;;;2
5;COMPLEX;;;;Begraving;;;;Grafveld, crematies;Grafveld, crematies;GVC;;;;;;;;2
5;COMPLEX;;;;Begraving;;;;Grafveld, gemengd;Grafveld, gemengd;GVIC;;;;;;;;2
5;COMPLEX;;;;Begraving;;;;Grafveld, inhumaties;Grafveld, inhumaties;GVI;;;;;;;;2
5;COMPLEX;;;;Begraving;;;;Grafveld, onbepaald;Grafveld, onbepaald;GVX;;;;;;;;2
5;COMPLEX;;;;Begraving;;;;Graf, onbepaald;Graf, onbepaald;GX;;;;;;;;2
5;COMPLEX;;;;Begraving;;;;Inhumatiegraf;Inhumatiegraf;GI;;;;;;;;2
5;COMPLEX;;;;Begraving;;;;Kerkhof;Kerkhof;GVIK;;;;;;;;2
5;COMPLEX;;;;Begraving;;;;Megalietgraf;Megalietgraf;GMEG;;;;;;;;2
5;COMPLEX;;;;Begraving;;;;Rijengrafveld;Rijengrafveld;GVIR;;;;;;;;2
5;COMPLEX;;;;Begraving;;;;Urnenveld;Urnenveld;GVCU;;;;;;;;2
5;COMPLEX;;;;Begraving;;;;Vlakgraf, crematie;Vlakgraf, crematie;GCV;;;;;;;;2
5;COMPLEX;;;;Begraving;;;;Vlakgraf, inhumatie;Vlakgraf, inhumatie;GIV;;;;;;;;2
5;COMPLEX;;;;Begraving;;;;Vlakgraf, onbepaald;Vlakgraf, onbepaald;GXV;;;;;;;;2
5;COMPLEX;;;;;;;;Infrastructuur;Infrastructuur;;;;;;;;;0
5;COMPLEX;;;;Infrastructuur;;;;Brug;Brug;IBRU;;;;;;;;4
5;COMPLEX;;;;Infrastructuur;;;;Dam;Dam;IDAM;;;;;;;;4
5;COMPLEX;;;;Infrastructuur;;;;Dijk;Dijk;IDIJ;;;;;;;;4
5;COMPLEX;;;;Infrastructuur;;;;Duiker;Duiker;IDUI;;;;;;;;4
5;COMPLEX;;;;Infrastructuur;;;;Gemaal;Gemaal;IGEM;;;;;;;;4
5;COMPLEX;;;;Infrastructuur;;;;Haven;Haven;IHAV;;;;;;;;4
5;COMPLEX;;;;Infrastructuur;;;;Infrastructuur, onbepaald;Infrastructuur, onbepaald;IX;;;;;;;;4
5;COMPLEX;;;;Infrastructuur;;;;Kanaal/vaarweg;Kanaal/vaarweg;IKAN;;;;;;;;4
5;COMPLEX;;;;Infrastructuur;;;;Percelering/verkaveling;Percelering/verkaveling;IPER;;;;;;;;4
5;COMPLEX;;;;Infrastructuur;;;;Sluis;Sluis;ISLU;;;;;;;;4
5;COMPLEX;;;;Infrastructuur;;;;Steiger;Steiger;ISTE;;;;;;;;4
5;COMPLEX;;;;Infrastructuur;;;;Veenweg/veenbrug;Veenweg/veenbrug;IVW;;;;;;;;4
5;COMPLEX;;;;Infrastructuur;;;;Waterweg (natuurlijk);Waterweg (natuurlijk);IWAT;;;;;;;;4
5;COMPLEX;;;;Infrastructuur;;;;Weg;Weg;IWEG;;;;;;;;4
5;COMPLEX;;;;;;;;Nederzettingstype;Nederzettingstype;;;;;;;;;0
5;COMPLEX;;;;Nederzettingstype;;;;Basiskamp/-nederzetting;Basiskamp/-nederzetting;NBAS;;;;;;;;2
5;COMPLEX;;;;Nederzettingstype;;;;Borg/stins/versterkt huis;Borg/stins/versterkt huis;NVB;;;;;;;;2
5;COMPLEX;;;;Nederzettingstype;;;;Extractiekamp/-nederzetting;Extractiekamp/-nederzetting;NEXT;;;;;;;;2
5;COMPLEX;;;;Nederzettingstype;;;;Havezathe/ridderhofstad;Havezathe/ridderhofstad;NVH;;;;;;;;2
5;COMPLEX;;;;Nederzettingstype;;;;Huisplaats, onverhoogd;Huisplaats, onverhoogd;NHP;;;;;;;;2
5;COMPLEX;;;;Nederzettingstype;;;;Huisterp;Huisterp;NHT;;;;;;;;2
5;COMPLEX;;;;Nederzettingstype;;;;Kampdorp;Kampdorp;NKD;;;;;;;;2
5;COMPLEX;;;;Nederzettingstype;;;;Moated site;Moated site;NMS;;;;;;;;2
5;COMPLEX;;;;Nederzettingstype;;;;Nederzetting, onbepaald;Nederzetting, onbepaald;NX;;;;;;;;2
