Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19
6930104;ABN Amro ATM;ABN Amro ATM;;5219528;600424;S;ATM;NL;;3;200;;;0;;11;Europe/Amsterdam;23/01/2009
6930298;infocentrum wouwse plantage;infocentrum wouwse plantage;;5146984;438745;S;PKLT;NL;;6;1674;;;0;;16;Europe/Amsterdam;14/04/2012
6930333;Media Park;Media Park;;5223611;517276;L;CTRB;NL;;7;402;;;0;;7;Europe/Amsterdam;05/09/2009
6930340;Beemsterkaas;Beemsterkaas;;5255598;487467;S;MFG;NL;;7;439;;;150;;-3;Europe/Amsterdam;30/09/2022
6930346;Fort Edam;Fort Edam;Edam Fort,Edamin linnake,Edams Fort,Fort Edam,Fort a Edam,Fort bei Edam,Fort bij Edam,Fort à Edam,Fuerte en Edam,Форт Едам;5251845;506698;S;FT;NL;;7;385;;;0;;-3;Europe/Amsterdam;21/09/2019
6930347;Purmerend benoorden;Purmerend benoorden;;5253618;495748;S;FT;NL;;7;439;;;0;;-1;Europe/Amsterdam;30/09/2022
6930348;Fort Spijkerboor;Fort Spijkerboor;;5254078;484127;S;FT;NL;;7;439;;;0;;-2;Europe/Amsterdam;30/09/2022
6930349;Markenbinnen;Markenbinnen;;5253401;478125;S;FT;NL;;7;361;;;0;;-1;Europe/Amsterdam;25/05/2015
6930350;Krommenie bij;Krommenie bij;;5251783;474278;S;FT;NL;;7;450;;;0;;-1;Europe/Amsterdam;04/06/2011
6930351;Aagtendijk a/d;Aagtendijk a/d;;5247744;468285;S;FT;NL;;7;375;;;0;;1;Europe/Amsterdam;04/06/2011
6930352;Nekkerweg a/d;Nekkerweg a/d;;5252827;492801;S;FT;NL;;7;439;;;0;;-2;Europe/Amsterdam;30/09/2022
6930353;Middenweg a/d;Middenweg a/d;;5251963;489248;S;FT;NL;;7;439;;;0;;-6;Europe/Amsterdam;30/09/2022
6930354;Jisperweg a/d;Jisperweg a/d;;5252467;486709;S;FT;NL;;7;439;;;0;;-4;Europe/Amsterdam;30/09/2022
6930359;Fort aan den Ham;Fort aan den Ham;Ham Fort;5250217;473549;S;FT;NL;;7;450;;;0;;1;Europe/Amsterdam;19/07/2019
6930360;Veldhuis;Veldhuis;;5249775;470545;S;FT;NL;;7;396;;;0;;1;Europe/Amsterdam;04/06/2011
6930361;Velsen bij;Velsen bij;;5246446;466679;S;FT;NL;;7;375;;;0;;4;Europe/Amsterdam;04/06/2011
6930362;Zuidwijkermeer;Zuidwijkermeer;;5245478;468271;S;FT;NL;;7;479;;;0;;0;Europe/Amsterdam;04/06/2011
6930374;Durgerdam;Durgerdam;;5237227;501376;S;FT;NL;;7;363;;;0;;1;Europe/Amsterdam;14/06/2015
6930375;Fort Ruigenhoek;Fort Ruigenhoek;Ruigenhoek Fort;5212927;512984;S;FT;NL;;9;310;;;0;;6;Europe/Amsterdam;20/07/2019
6930376;Blaucapel;Blaucapel;;5211568;513843;S;FT;NL;;9;344;;;0;;3;Europe/Amsterdam;14/04/2012
6930377;Klop de;Klop de;;5211958;508886;S;FT;NL;;9;344;;;0;;2;Europe/Amsterdam;14/04/2012
6930383;Dam Square;Dam Square;Dam,Dam Meydani,Dam Meydanı,Dam Platz,Dam Square,Dam hraparak,Dam plaza,Dam ter,Dam tér,Medan Dam,Piata Dam,Piața Dam,Placa Dam,Place du Dam,Placo de Dam,Plaza Dam,Plaça Dam,Ploshha Dam,Ploshhad' Dam,Praca Dam,Praza Dam,Praça Dam,Sgwar Dam,Sgwâr Dam,Trg Dam,dam gwangjang,damu guang chang,de Dam,le Dam,mydan dam,saht dam,shui ba guang chang,the Dam,Дам,Площа Дам,Площадь Дам,Դամ հրապարակ,דה דאם,ساحة دام,ميدان دام,ダム広場,水坝广场,水壩廣場,담 광장;5237293;489336;S;SQR;NL;;7;363;;;0;;13;Europe/Amsterdam;28/07/2014
6930385;Rembrandtplein;Rembrandtplein;Place Rembrandt,Ploshcha Rehmbranta,Ploshha Rembrandta,Rembrandt Square,Rembrandtplein,lun bo lang guang chang,ploshhad' Rembrandta,rambrantblyn,renburanto guang chang,rmbrndtplyyn,Плошча Рэмбранта,Площа Рембрандта,площадь Рембрандта,רמברנדטפליין,رامبرانتبلين,レンブラント広場,伦勃朗广场,倫勃朗廣場;5236602;489638;S;SQR;NL;;7;363;;;0;;9;Europe/Amsterdam;01/08/2014
6930387;Spaarndam Benoorden;Spaarndam Benoorden;;5242289;467809;S;FT;NL;;7;453;;;0;;1;Europe/Amsterdam;04/06/2011
6930388;Spaarndam Bezuiden;Spaarndam Bezuiden;;5241167;467209;S;FT;NL;;7;392;;;0;;-1;Europe/Amsterdam;04/06/2011
6930389;Penningsveer bij;Penningsveer bij;;5239145;467747;S;FT;NL;;7;394;;;0;;0;Europe/Amsterdam;20/01/2019
6930390;Liebrug a/d;Liebrug a/d;;5238501;468766;S;FT;NL;;7;394;;;0;;-2;Europe/Amsterdam;20/01/2019
6930391;Liede a/d;Liede a/d;;523794;469009;S;FT;NL;;7;394;;;0;;0;Europe/Amsterdam;07/04/2017
6930392;Vijfhuizen bij;Vijfhuizen bij;;5234739;467037;S;FT;NL;;7;394;;;0;;1;Europe/Amsterdam;04/06/2011
6930393;IJweg (Batterij);IJweg (Batterij);;5232364;467794;S;FT;NL;;7;394;;;0;;-3;Europe/Amsterdam;04/06/2011
6930394;Hoofddorp bij;Hoofddorp bij;;5230212;468536;S;FT;NL;;7;394;;;0;;-3;Europe/Amsterdam;04/06/2011
6930395;Sloterweg (Batterij);Sloterweg (Batterij);;5228646;470377;S;FT;NL;;7;394;;;0;;-4;Europe/Amsterdam;04/06/2011
6930396;Aalsmeer bij;Aalsmeer bij;;5226855;473459;S;FT;NL;;7;394;;;0;;0;Europe/Amsterdam;04/06/2011
6930397;Kudelstaart bij;Kudelstaart bij;;5224827;475684;S;FT;NL;;7;358;;;0;;0;Europe/Amsterdam;04/06/2011
6930398;Kwakel de;Kwakel de;;5223699;478975;S;FT;NL;;7;451;;;0;;1;Europe/Amsterdam;04/06/2011
6930399;Drecht a/d;Drecht a/d;;5222869;481429;S;FT;NL;;7;451;;;0;;1;Europe/Amsterdam;04/06/2011
6930400;Amstelhoek;Amstelhoek;;5222788;483785;S;FT;NL;;9;736;;;0;;-3;Europe/Amsterdam;04/06/2011
6930401;Waver Amstel;Waver Amstel;;5224945;487051;S;FT;NL;;9;736;;;0;;-3;Europe/Amsterdam;04/06/2011
6930402;Botshol a/d;Botshol a/d;;52251;491209;S;FT;NL;;9;736;;;0;;-2;Europe/Amsterdam;14/04/2012
6930403;Winkel a/d;Winkel a/d;;5225592;495745;S;FT;NL;;9;736;;;0;;0;Europe/Amsterdam;14/04/2012
6930404;Fort Abcoude;Fort Abcoude;;5226981;498101;S;FT;NL;;9;736;;;0;;5;Europe/Amsterdam;27/02/2013
6930405;Nigtevecht;Nigtevecht;;5227514;501736;S;FT;NL;;9;736;;;0;;4;Europe/Amsterdam;14/04/2012
6930406;Hinderdam;Hinderdam;;5228373;505886;S;FT;NL;;7;1696;;;0;;3;Europe/Amsterdam;04/06/2011
6930407;Uitermeer;Uitermeer;;522931;508238;S;FT;NL;;7;363;;;0;;5;Europe/Amsterdam;30/01/2025
6930408;Ossenmarkt;Ossenmarkt;;5230772;504581;S;FT;NL;;7;363;;;0;;2;Europe/Amsterdam;30/01/2025
6930409;Muizenfort;Muizenfort;Fort C,Mouse Fort,Musens Fort;5232949;507234;S;FT;NL;;7;1942;;;0;;0;Europe/Amsterdam;03/08/2019
6930410;Westbatterij;Westbatterij;;5233597;506692;S;FT;NL;;7;1942;;;0;;0;Europe/Amsterdam;31/07/2016
6930411;Diemerdam;Diemerdam;Kustbatterij bij Diemerdam;5234305;501397;S;FT;NL;;7;384;;;0;;2;Europe/Amsterdam;04/06/2011
6930412;Pampus;Pampus;;523648;5069;S;FT;NL;;9;;;;0;;2;Europe/Amsterdam;07/02/2009
6930413;Kijkuit;Kijkuit;;5223576;505895;S;FT;NL;;7;1696;;;0;;0;Europe/Amsterdam;04/06/2011
6930464;Voordorp;Voordorp;;5210926;515823;S;FT;NL;;9;310;;;0;;8;Europe/Amsterdam;12/01/2020
6930465;Bilt de;Bilt de;;5209673;514731;S;FT;NL;;9;344;;;0;;3;Europe/Amsterdam;14/04/2012
6930466;Hemeltje 't;Hemeltje 't;;5204903;514628;S;FT;NL;;9;321;;;0;;6;Europe/Amsterdam;14/04/2012
6930467;Overeind;Overeind;;520389;511641;S;FT;NL;;9;356;;;0;;6;Europe/Amsterdam;14/04/2012
6930468;Jutphaas;Jutphaas;;5203763;510053;S;FT;NL;;9;356;;;0;;3;Europe/Amsterdam;14/04/2012
6930469;Vreeswijk;Vreeswijk;;5200557;509899;S;FT;NL;;9;356;;;0;;4;Europe/Amsterdam;14/04/2012
6930470;Waalsewetering Werk a/d;Waalsewetering Werk a/d;;5199738;515177;S;FT;NL;;9;321;;;0;;3;Europe/Amsterdam;14/04/2012
6930471;Uitweg Werk a/d Korte;Uitweg Werk a/d Korte;;5198546;515971;S;FT;NL;;9;321;;;0;;2;Europe/Amsterdam;14/04/2012
6930472;Snel a/d;Snel a/d;;519769;516173;S;FT;NL;;9;321;;;0;;5;Europe/Amsterdam;14/04/2012
6930473;Honswijk;Honswijk;;5197412;515675;S;FT;NL;;9;321;;;0;;8;Europe/Amsterdam;14/04/2012
